Date;Puissance moyenne journaliere de injection RTE;Puissance moyenne journaliere du refoulement RTE;Puissance moyenne journaliere des pertes modelisees;Energie moyenne journaliere des consommations totales;Energie moyenne journaliere des consommations HTA profilees;Puissance moyenne journaliere de la production decentralisee totale;Puissance moyenne journaliere de la production decentralisee profilee;Puissance moyenne journaliere de la production photovoltaique profilee;Temperature moyenne journaliere realisee;Temperature moyenne journaliere normale;Temperature moyenne journaliere realisee lissee;Temperature moyenne journaliere normale lissee;Puissance moyenne journaliere de la production eolienne totale;Puissance moyenne journaliere de la production photovoltaique totale;Puissance moyenne journaliere de la production autre;mois;Puissance moyenne journaliere du soutirage net vers autres GRD;Energie moyenne journaliere des consommations HTA telerelevees a courbe de charge;Energie moyenne journaliere des consommations totales profilees;Puissance moyenne journaliere de la production decentralisee telerelevee a courbe de charge;Puissance moyenne journaliere de la production autre profilee;Categorie client;Puissance moyenne journaliere
2011-09-01;35204070312.5;260927437.5;2180019342.9375;34035438533.25;1868847061.5;1593638613.95833;282030429.166667;237263869.020833;20.5121527777778;18.7996527777778;19.2729166666667;19.5083333333333;686265093.520833;333283057.25;574090463.1250004;9;321323612.7083337;12989217646.0417;21046220887.2083;1311608184.79167;0.0;Residentiels;10597664675.8542
2011-09-30;35063161875.0;180535375.0;2165939992.3125;33770949253.3333;1758947436.14583;1378957362.125;227450696.708333;192899269.4375;19.9576388888889;15.228125;20.2729166666667;15.7416666666667;554958856.416667;308620917.75;515377587.9583336;9;324694616.4583337;12701667771.4583;21069281481.875;1151506665.41667;0.0;Entreprises;14460615207.60413
2011-10-02;27916892916.6667;101788750.0;1868371905.3125;26672530893.5;915233972.1875;1000915843.0;235989494.041667;205474228.75;19.1663194444444;14.978125;20.0708333333333;15.4854166666667;208295700.125;322659616.729167;469960526.166667;10;275117210.8333333;7973807161.04167;18698723732.4583;764926348.958333;0.0;PME / PMI;2705715778.35417
2011-10-08;31943255291.6667;847285937.5;2214107825.10417;31220471049.5417;1131875769.35417;2673336558.875;219219115.333333;189226117.916667;11.8788194444444;14.1902777777778;14.2229166666667;14.6875;1876428981.3125;268742802.104167;528164775.6250007;10;334727038.3333337;9200158257.70833;22020312791.8333;2454117443.54167;0.0;Professionnels;4011718556.20833
2011-10-12;37282969208.3333;387787520.833333;2345277523.8125;36044849481.8333;1806426840.20833;1853946139.35417;203724872.479167;170462298.166667;15.6309027777778;13.653125;15.775;14.1416666666667;1031930720.33333;267888168.604167;554127250.354167;10;359000821.2499997;13047107840.2083;22997741641.625;1650221266.875;0.0;Residentiels;12438903951.1458
2011-10-12;37282969208.3333;387787520.833333;2345277523.8125;36044849481.8333;1806426840.20833;1853946139.35417;203724872.479167;170462298.166667;15.6309027777778;13.653125;15.775;14.1416666666667;1031930720.33333;267888168.604167;554127250.354167;10;359000821.2499997;13047107840.2083;22997741641.625;1650221266.875;0.0;Professionnels;4491921256.625
2011-10-27;41660332583.3333;991028979.166667;2710101505.39583;40653245112.375;1823718669.1875;3114192655.1875;179201919.5625;137159651.9375;13.0979166666667;11.59375;12.4604166666667;12.0479166666667;2304971288.3125;178034184.666667;631187182.2708334;10;420149641.666667;12942065746.6667;27711179365.7083;2934990735.625;0.0;PME / PMI;4834164348.9375
2011-11-10;41736991729.1667;281856333.333333;2715775799.58333;41531572423.625;2332629841.8125;3229677905.27083;179967665.0625;103046343.208333;11.3354166666667;9.5375;12.06875;9.95833333333333;750454821.5;165039498.5;2314183585.2708297;11;437465077.9166667;12931217270.2083;28600355153.4167;3049710240.20833;0.0;PME / PMI;5144771020.625
2011-11-18;45154830416.6667;282469104.166667;3023063045.58333;44760846766.2083;2283967951.9375;3391123725.10417;172651625.9375;91804376.1666667;9.109375;8.38541666666667;9.38333333333333;8.77916666666667;961926753.8125;168197320.708333;2260999650.9375033;11;479575225.833333;12824446841.25;31936399924.9583;3218472099.16667;0.0;Entreprises;15108414793.1875
2011-11-18;45154830416.6667;282469104.166667;3023063045.58333;44760846766.2083;2283967951.9375;3391123725.10417;172651625.9375;91804376.1666667;9.109375;8.38541666666667;9.38333333333333;8.77916666666667;961926753.8125;168197320.708333;2260999650.9375033;11;479575225.833333;12824446841.25;31936399924.9583;3218472099.16667;0.0;PME / PMI;5197401243.60417
