Region;Type de production;Puissance cumulee;Nombre installations;Geo Point;Code region;code typeProd;Fin de trimestre
Provence-Alpes-Cote d'Azur;Bio energie;91.95;24;43.9575890702, 6.06569381585;93;400;2016-06-30
Aquitaine Limousin Poitou-Charentes;Cogeneration;112.29;42;45.2060329806, 0.213682432817;75;500;2016-06-30
Languedoc-Roussillon Midi-Pyrenees;Cogeneration;101.01;22;43.702436341, 2.14469549983;76;500;2016-06-30
Languedoc-Roussillon Midi-Pyrenees;Photovoltaique;1348.79;53046;43.702436341, 2.14469549983;76;100;2016-06-30
Auvergne Rhone-Alpes;Autres;62.1;14;45.514684747, 4.53658962401;84;600;2016-06-30
Ile-de-France;Bio energie;178.14;31;48.7093394355, 2.50408175877;11;400;2016-06-30
Ile-de-France;Cogeneration;340.42;82;48.7093394355, 2.50408175877;11;500;2016-06-30
Ile-de-France;Eolien;42.54;6;48.7093394355, 2.50408175877;11;200;2016-06-30
Ile-de-France;Hydraulique;19.21;5;48.7093394355, 2.50408175877;11;300;2016-06-30
Bourgogne Franche-Comte;Photovoltaique;143.04;17860;47.2343259051, 4.80741109091;27;100;2016-06-30
Normandie;Eolien;621.19;102;49.1203330852, 0.110020840062;28;200;2016-06-30
Pays de la Loire;Cogeneration;179.32;56;47.477963366, -0.81657983416;52;500;2016-06-30
Pays de la Loire;Photovoltaique;395.03;40752;47.477963366, -0.81657983416;52;100;2016-06-30
Auvergne Rhone-Alpes;Bio energie;138.42;61;45.514684747, 4.53658962401;84;400;2016-06-30
Auvergne Rhone-Alpes;Cogeneration;178.69;63;45.514684747, 4.53658962401;84;500;2016-06-30
Provence-Alpes-Cote d'Azur;Autres;58.06;10;43.9575890702, 6.06569381585;93;600;2016-06-30
Provence-Alpes-Cote d'Azur;Cogeneration;99.46;45;43.9575890702, 6.06569381585;93;500;2016-06-30
Ile-de-France;Photovoltaique;80.26;13295;48.7093394355, 2.50408175877;11;100;2016-06-30
Bourgogne Franche-Comte;Cogeneration;68.81;18;47.2343259051, 4.80741109091;27;500;2016-06-30
Normandie;Bio energie;27.14;47;49.1203330852, 0.110020840062;28;400;2016-06-30
Nord-Pas-de-Calais Picardie;Autres;43.37;6;49.9699454427, 2.77194462298;32;600;2016-06-30
Nord-Pas-de-Calais Picardie;Bio energie;92.83;45;49.9699454427, 2.77194462298;32;400;2016-06-30
Nord-Pas-de-Calais Picardie;Cogeneration;217.85;68;49.9699454427, 2.77194462298;32;500;2016-06-30
Bretagne;Bio energie;53.64;55;48.1700856903, -2.84301849546;53;400;2016-06-30
Bretagne;Hydraulique;8.76;37;48.1700856903, -2.84301849546;53;300;2016-06-30
Aquitaine Limousin Poitou-Charentes;Hydraulique;196.05;275;45.2060329806, 0.213682432817;75;300;2016-06-30
Auvergne Rhone-Alpes;Eolien;393.13;91;45.514684747, 4.53658962401;84;200;2016-06-30
Normandie;Cogeneration;118.75;36;49.1203330852, 0.110020840062;28;500;2016-06-30
Normandie;Hydraulique;36.91;43;49.1203330852, 0.110020840062;28;300;2016-06-30
Nord-Pas-de-Calais Picardie;Hydraulique;3.81;19;49.9699454427, 2.77194462298;32;300;2016-06-30
Alsace Champagne-Ardenne Lorraine;Bio energie;77.94;81;48.6888920841, 5.6138840413;44;400;2016-06-30
Pays de la Loire;Bio energie;64.11;48;47.477963366, -0.81657983416;52;400;2016-06-30
Bretagne;Cogeneration;161.59;56;48.1700856903, -2.84301849546;53;500;2016-06-30
